positive,negative,not,degree-1,degree-2,degree-3,degree-4,degree-5,degree-6
愛不忍釋,一下子爆發,不,百分之百,不過,大不了,點點滴滴,半點,不為過
愛不釋手,一下子爆發的一連串,不一定,倍加,不少,多,多多少少,不大,超
愛寵,一巴掌,不了,備至,不勝,更,怪,不丁點兒,超額
愛戴,一再,不了了之,不得了,慘,更加,好生,不甚,超外差
愛撫,一再叮囑,不力,不堪,沉,更進一步,還,不怎麼,超微結構
愛好,一拳,不久,不可開交,沉沉,更為,或多或少,聊,超物質
愛護,一般殺人罪,不切實際,不亦樂乎,出奇,還,略,沒怎麼,出頭
愛憐,一陣狂風,不及,不折不扣,大為,還要,略加,輕度,多
愛戀,一陣緊張,不少,徹頭徹尾,多,較,略略,弱,浮
愛慕,一掌,不支,充分,多多,較比,略微,絲毫,過
愛上,一團糟,不止,到頭,多加,較為,略為,微,過度
愛屋及烏,一摑,不比,地地道道,多麼,進一步,蠻,相對,過分
愛惜,一點點,不只,非常,分外,那般,稍,,過火
安,一蹶不振,不可,極,格外,那麼,稍稍,,過勁
昂揚,人事不省,不可不,極度,夠瞧的,那樣,稍微,,過了頭
巴,人為,不可以,極端,夠戧,強,稍為,,過猛
巴不得,人為的,不可思議,極其,好,如斯,稍許,,過熱
巴望,入迷,不可能,極為,好不,益,挺,,過甚
擺好,入迷的,不外,截然,何等,益發,未免,,過頭
拜,入迷的人,不巧,盡,很,尤甚,相當,,過於
拜拜,刀刃,不平,驚人地,很是,逾,些,,過逾
拜服,刁難,不必,絕,壞,愈,些微,,何止
拜賀,力盡,不甘,絕頂,可,愈發,些小,,何啻
拜謁,匕首,不用,絕對,老,愈加,一點,,開外
褒,下地獄,不由,絕對化,老大,愈來愈,一點兒,,苦
褒獎,下垂,不亦,刻骨,良,愈益,一些,,老
褒揚,下垂度,不全,酷,頗,遠遠,有點,,偏
睎,下流,不再,滿,頗為,越發,有點兒,,強
表揚,下流的,不合,滿貫,甚,越加,有些,,溢
表彰,下降,不吉,滿心,實在,越來越,,,忒
並重,下陷,不同,莫大,太,越是,,,
